start		CL	EA	EA_NA	EU	NA	OTHER	Total
2014-06-01		8	12	12	20	20	0	72
2014-06-08		2	12	4	30	22	0	70
2014-06-15		10	14	4	22	20	0	70
2014-06-22		2	12	4	24	24	0	66
2014-06-29		2	16	4	26	16	0	64
2014-07-06		0	18	2	28	10	0	58
2014-07-13		0	12	0	18	16	0	46
2014-07-20		0	4	4	4	24	0	36
2014-07-27		6	8	0	14	14	0	42
2014-08-03		8	8	0	12	14	0	42
2014-08-10		2	14	0	22	4	0	42
2014-08-17		2	14	0	18	8	0	42
2014-08-24		0	2	0	16	12	0	30
2014-08-31		6	0	0	8	10	0	24
2014-09-07		18	0	0	0	0	0	18
2014-09-14		8	14	0	2	0	0	24
2014-09-21		0	12	0	14	2	0	28
2014-09-28		0	6	0	0	0	0	6
2014-10-05		0	0	0	0	2	0	2
2014-10-12		0	0	0	0	0	0	0
