start		CL	EA	EA_NA	EU	NA	OTHER	Total
2014-06-01		6	14	8	26	18	0	72
2014-06-08		6	12	20	24	8	0	70
2014-06-15		4	8	14	24	20	0	70
2014-06-22		4	14	6	24	22	0	70
2014-06-29		12	12	4	22	20	0	70
2014-07-06		10	8	14	24	14	0	70
2014-07-13		6	10	14	24	16	0	70
2014-07-20		6	12	4	24	24	0	70
2014-07-27		6	14	4	24	22	0	70
2014-08-03		6	16	0	22	24	0	68
2014-08-10		2	18	6	26	18	0	70
2014-08-17		6	14	8	24	20	0	72
2014-08-24		4	14	4	26	22	0	70
2014-08-31		2	18	2	24	24	0	70
2014-09-07		4	12	10	24	20	0	70
2014-09-14		2	16	10	26	16	0	70
2014-09-21		16	10	6	20	18	0	70
2014-09-28		14	8	12	22	14	0	70
2014-10-05		0	10	14	26	20	0	70
2014-10-12		0	12	6	26	26	0	70
2014-10-19		0	8	16	26	20	0	70
2014-10-26		0	4	20	26	20	0	70
2014-11-02		0	8	14	28	20	0	70
2014-11-09		0	8	12	26	24	0	70
2014-11-16		0	8	28	24	10	0	70
2014-11-23		0	4	18	28	20	0	70
2014-11-30		0	10	14	26	20	0	70
2014-12-07		0	4	28	26	12	0	70
2014-12-14		0	10	18	26	16	0	70
2014-12-21		0	8	18	24	20	0	70
2014-12-28		0	14	4	24	28	0	70
2015-01-04		0	8	14	32	16	0	70
2015-01-11		0	18	2	24	26	0	70
2015-01-18		0	16	0	28	26	0	70
2015-01-25		0	22	0	18	30	0	70
2015-02-01		0	18	0	22	30	0	70
2015-02-08		0	24	0	12	32	0	68
2015-02-15		0	22	0	14	34	0	70
2015-02-22		0	22	0	14	36	0	72
2015-03-01		0	22	0	14	34	0	70
2015-03-08		0	22	0	14	34	0	70
2015-03-15		0	16	6	30	18	0	70
2015-03-22		0	20	0	20	30	0	70
2015-03-29		0	20	0	22	26	0	68
2015-04-05		0	30	2	4	36	0	72
2015-04-12		0	14	12	16	18	0	60
2015-04-19		0	20	16	18	16	0	70
2015-04-26		0	20	18	26	6	0	70
2015-05-03		0	16	22	16	8	0	62
2015-05-10		0	12	10	22	12	0	56
2015-05-17		0	12	8	38	12	0	70
2015-05-24		0	8	10	50	2	0	70
2015-05-31		0	8	18	38	4	0	68
2015-06-07		0	4	12	40	0	0	56
2015-06-14		0	6	16	38	2	0	62
2015-06-21		0	10	6	46	8	0	70
2015-06-28		0	8	10	48	4	0	70
2015-07-05		0	6	22	24	4	0	56
2015-07-12		0	14	12	18	8	0	52
2015-07-19		0	12	10	26	22	0	70
2015-07-26		0	12	10	26	16	0	64
2015-08-02		0	10	16	20	6	0	52
2015-08-09		0	14	10	20	12	0	56
2015-08-16		0	18	6	26	10	0	60
2015-08-23		0	18	6	28	16	0	68
2015-08-30		0	18	2	22	30	0	72
2015-09-06		0	16	0	24	30	0	70
2015-09-13		0	26	0	38	6	0	70
2015-09-20		0	18	0	30	22	0	70
2015-09-27		0	6	0	12	20	0	38
