start		CL	EA	EA_NA	EU	NA	OTHER	Total
2014-06-01		10	8	2	16	36	0	72
2014-06-08		14	16	10	8	22	0	70
2014-06-15		10	20	0	28	12	0	70
2014-06-22		0	12	0	46	12	0	70
2014-06-29		0	14	8	32	12	0	66
2014-07-06		2	10	4	24	12	0	52
2014-07-13		0	4	2	8	24	0	38
2014-07-20		0	0	4	30	0	0	34
2014-07-27		0	14	0	16	12	0	42
2014-08-03		0	26	0	14	2	0	42
2014-08-10		0	12	2	10	18	0	42
2014-08-17		0	0	2	14	26	0	42
2014-08-24		0	4	0	10	16	0	30
2014-08-31		0	8	0	10	10	0	28
2014-09-07		4	10	0	8	0	0	22
2014-09-14		8	20	0	2	0	0	30
2014-09-21		26	0	0	2	2	0	30
2014-09-28		0	0	0	0	2	0	2
2014-10-05		0	0	0	0	0	0	0
2014-10-12		0	0	0	0	0	0	0

