start		CL	EA	EA_NA	EU	NA	OTHER	Total
2014-06-01		8	8	2	18	36	0	72
2014-06-08		10	14	6	26	14	0	70
2014-06-15		4	12	0	38	16	0	70
2014-06-22		0	0	0	32	38	0	70
2014-06-29		2	0	0	32	36	0	70
2014-07-06		0	12	0	28	30	0	70
2014-07-13		0	12	0	32	26	0	70
2014-07-20		2	0	0	32	36	0	70
2014-07-27		6	0	0	30	34	0	70
2014-08-03		6	8	4	18	32	0	68
2014-08-10		10	4	2	16	38	0	70
2014-08-17		0	16	14	14	28	0	72
2014-08-24		6	12	6	16	30	0	70
2014-08-31		0	4	2	22	42	0	70
2014-09-07		0	20	8	16	26	0	70
2014-09-14		0	20	2	34	14	0	70
2014-09-21		0	0	14	32	24	0	70
2014-09-28		0	0	14	40	16	0	70
2014-10-05		0	10	14	18	28	0	70
2014-10-12		0	16	6	30	18	0	70
2014-10-19		0	20	6	30	14	0	70
2014-10-26		0	0	16	34	20	0	70
2014-11-02		0	14	14	30	12	0	70
2014-11-09		0	14	10	32	14	0	70
2014-11-16		0	14	18	30	8	0	70
2014-11-23		0	14	18	16	22	0	70
2014-11-30		0	22	14	14	20	0	70
2014-12-07		0	2	26	16	26	0	70
2014-12-14		0	6	20	8	36	0	70
2014-12-21		0	4	22	16	28	0	70
2014-12-28		0	6	0	26	38	0	70
2015-01-04		0	14	0	14	42	0	70
2015-01-11		0	12	0	18	40	0	70
2015-01-18		0	14	0	20	36	0	70
2015-01-25		0	14	4	12	40	0	70
2015-02-01		0	34	0	2	20	0	56
2015-02-08		0	30	0	24	10	0	64
2015-02-15		2	36	0	16	4	0	58
2015-02-22		0	40	0	6	12	0	58
2015-03-01		0	40	0	14	2	0	56
2015-03-08		0	40	0	24	4	0	68
2015-03-15		0	34	6	6	12	0	58
2015-03-22		0	48	4	16	4	0	72
2015-03-29		0	32	4	20	16	0	72
2015-04-05		2	48	6	2	14	0	72
2015-04-12		0	46	0	10	4	0	60
2015-04-19		0	40	4	10	16	0	70
2015-04-26		4	38	0	8	20	0	70
2015-05-03		0	36	6	6	14	0	62
2015-05-10		2	36	0	14	4	0	56
2015-05-17		0	48	8	8	6	0	70
2015-05-24		0	32	12	12	14	0	70
2015-05-31		0	28	12	12	16	0	68
2015-06-07		0	28	12	4	12	0	56
2015-06-14		0	28	22	4	8	0	62
2015-06-21		0	22	22	2	24	0	70
2015-06-28		0	20	20	14	16	0	70
2015-07-05		0	20	22	4	12	0	58
2015-07-12		0	28	16	10	6	0	60
2015-07-19		0	18	14	14	18	0	64
2015-07-26		0	18	18	18	16	0	70
2015-08-02		0	20	12	20	10	0	62
2015-08-09		0	22	12	10	12	0	56
2015-08-16		0	16	14	20	10	0	60
2015-08-23		0	24	8	14	20	0	66
2015-08-30		0	36	0	12	24	0	72
2015-09-06		0	38	8	12	12	0	70
2015-09-13		0	38	4	4	24	0	70
2015-09-20		0	28	14	2	26	0	70
2015-09-27		0	16	6	0	16	0	38
